"Billing address","Faktureringsadresse"
"Shipping address","Leveringsadresse"
"Shipping method","Forsendelses valg"
"Time of Delivery","Leveringsdato"
"Payment method","Betalingsmiddel"
"Order Review","Ordre Oversigt"
"First Name","Fornavn"
"Last Name","Efternavn"
"Email Address","E-mail adresse"
"Company","Virksomhed"
"Country","Land"
"State/Province","Region"
"Zip/Postal","Postnummer"
"City","By"
"Address","Adresse"
"Telephone","Telefon"
"Fax","Fax"
"Tax/VAT number","CVR-nummer"
"Date of Birth","Fødselsdato"
"Gender","Køn"
"Prefix","Præfiks"
"M.I.","M.I."
"Suffix","Suffiks"
"MM","MM"
"DD","DD"
"YYYY","ÅÅÅÅ"
"Save in address book","Gem i adressebogen"
"Create an Account","Opret en Brugerkonto"
"Password","Kodeord"
"Confirm Password","Bekræft Kodeord"
"Ship to this address","Levering til denne adresse"
"Comments","Kommentar"
"Already registered? Please log in here","Allerede oprettet? Logind her"
"Customer Login","Kunde Logind"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Jeg acceptere <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Købsvilkår og -betingelser</a>"
"Login","Logind"
"Forgot Your Password?","Glemt dit Kodeord?"
"Place Order","Gennemfør ordre"
"Subscribe to newsletter","Abonnere på nyhedsbrev"
"* This field is required","* Dette felt skal udfyldes"
"* Please select an option","* Vælg venligst en option"
"* This checkbox is required","* Dette felt skal afkrydses"
"*Between ","* Imellem "
" and "," og "
"characters allowed","tegn tilladt"
"* Checks allowed Exceeded","* Tilladte valg overskredet"
"* Please select ","* Vælg venligst"
" options"," optioner"
"* Your field is not matching","* Dine indtastning matcher ikker"
"* Invalid phone number","* Ugyldigt telefon nummer"
"* Invalid email address","* Ugyldig e-mail adresse"
"* Invalid date, must be in YYYY-MM-DD format","* Ugyldig dato, du bør anvende formattet ÅÅÅÅ-MM-DD"
"* Numbers only","* Kun tal tilladt"
"* This user is available","* Denne bruger er tilrådighed"
"* Loading, please wait","* Indlæser, vent venligst"
"* This user is already taken","* Denne bruger er allerede i brug"
"* This name is already taken","* Dette navn er allerede i brug"
"* This name is available","* Dette navn er tilrådighed"
"* Letters only","* Kun bogstaver tilladt"
"* You must have a firstname and a lastname","* Du skal indtaste Fornavn og Efternavn"
"Check this checkbox if you want to add gift messages.","Afkryds denne boks, hvis du vil tilføje en hilsen"
"Enter a gift message for entire order.","Indtast hilsen til hele ordren"
"You can leave this box blank if you do not wish to add a gift message for whole order.","Du kan lade det felt være tomt, hvis du ikke ønsker at tilføje en hilsen til hele ordren"
"From","Fra"
"To","Til"
"Message","Meddelelse"
"Item %d of %d","Produkt %d af %d"
"Updating information, please wait...","Opdatere information, vent venligst..."
"General","Generel"
"Enable LightCheckout","Aktiver LightCheckout"
"Default Country","Standard indstilling for land"
"Default Shipping Method","Standard indstilling for levering"
"Default Payment Method","Standard indstilling for betaling"
"Page Title","Side titel"
"Page Content","Side indhold"
"Enable Different Shipping Address","Aktiver anden leveringsadresse"
"Enable Delivery Date","aktiver leverinsdato"
"Enable GeoIP for Country","aktiver GeoIP for land"
"Registration","Registrering"
"Checkout Mode","Indkøbsoversigt"
"Registered and guest customers","Registrerede og gæste kunder"
"Only registered customers","Kun registrerede kunder"
"Only guest customers","Kun gæste kunder"
"Enable/Disable Fields","Aktiver/deaktiver felt"
"Region","Region"
"Zip/Postcode","Postnummer"
"Newsletter Checkbox","Nyhedsbrev afkrydsningsfelt"
"Sort Address Fields","Sorter adresse felter"
"Company Order","Virksomhedsordre"
"Country Order","Ordre efter land"
"City Order","Ordre efter By"
"Telephone Order","Telefon Ordre"
"Fax Order","Fax Ordre"
"State/Region Order","Ordre efter Region"
"Address Order","Ordre efter Adresse"
"Zip/Postcode Order","Ordre efter Postnummer"
"Terms & Conditions","Købsvilkår og -betingelser"
"Enable Terms and Conditions","Aktiver Købsvilkår og -betingelser"
"Terms and Conditions Text","Købsvilkår og -betingelser tekst"
"Popup Width in Pixels","Popup Bredde i Pixels"
"Popup Height in Pixels","Popup Højde i Pixels"
"Enable","Aktiver"
"Disable","Deaktiver"
"Required","Påkrævet"
"Optional","Valgfri"
"Yes","Ja"
"No","Nej"
"Select a billing address","Vælg en faktureringsadresse"
"Select a shipping address","Vælg en leveringsadresse"
"Buy without VAT (for EU only)","Køb uden moms (kun for EU-lande)"
"Apply Coupon","Aktiver Kupon"
"Discount codes","Rabat Koder"
"Subtotal","Subtotal"
"Grand Total","Total"
"Product Name","Produkt navn"
"Price","Pris"
"Qty","Mængde"
"Remove item","Fjen produkt"
"What is this?","Hvaf er dette?"
"Card Verification Number","Kortets Kontrolnummer"
"Expiration Date","Udløbsdato"
"Credit Card Type","Kort type"
"Credit Card Number","Kort-nummer"
"Name on Card","Navn på kortets-ejer"
"Expiration Date","Udløbsdato"
"Please select region, state or province","Vælg venligst region, stat eller provins."
"--Please Select--","-- Vælg Venligst --"
"LightCheckout Skin","LightCheckout Baggrund"
"Allow to change Qty","Tillad at ændre mængde"
"Allow to Remove Item from Checkout","Tillad at fjerne produkt fra indkøb"
"Disable Cart","Deaktiver Indkøbskurv"
"Enable Discount Codes","Aktiver Rabat-kupon koder"
"Yes, checkbox is checked","Ja, afkrydsningsfelt er afkrydset"
"Yes, checkbox is unchecked","Ja, afkrydsningsfelt er ikke afkrydset"
"Create an Account checkbox","Opret et afkrydsningsfelt"
"Available Delivery Days","Tilgængelige Leveringsdage"
"Available Delivery from, hours","Tilgængelige Levering fra, timer"
"Available Delivery to, hours","Tilgængelige Levering til, timer"
"Set Interval for Delivery, days","Interval for Levering, Dage"
"Enable GeoIP for Zip/Postcode","Aktiver GeoIP for Postnummer"
"Enable GeoIP for City","Aktiver GeoIP for By"
"Enable Ajax for Country","Aktiver Ajax for Land"
"Enable Ajax for State/Region","Aktiver Ajax for Region"
"Enable Ajax for Zip/Postcode","Aktiver Ajax for Postnummer"
"Enable Ajax for City","Aktiver Ajax for By"
"Show Address Book","Vis adressebog"
"State/Region","Region"
"Enable EU VAT Option","Aktiver EU Moms optionen"
"Base EU Country","Base EU Land"
"B2C & B2B (Base EU Country)","B2C & B2B (Base EU Land)"
"B2C & B2B (within EU, not Base EU Country)","B2C & B2B (Indenfor EU, ikke Base EU Land)"
"VAT/Tax Rule","Moms reglers"
"Show Buy without VAT checkbox","Vis Køb uden Moms afkrydsningsfelt"
"Text under VAT/Tax field","Tekst i Moms feltet"
"EU VAT/Tax Settings","EU Moms Indstillinger"
"Without VAT if VAT Number is Verified","Uden Moms, hvis CVR-nummer er godkendt"
"Without VAT","Uden Moms"
"With VAT","Med Moms"
"Yes, checked","Ja, afkrydset"
"Yes, unchecked","Ja, ikke afkrydset"
"Delivery Date","Leveringsdato"
"GeoIP Settings","GeoIP Indstillinger"
"Ajax Settings","Ajax Indstillinger"
"Yes, before Order Review","Ja, før Ordre Oversigt"
"Yes, after Order Review","Ja, efter Ordre Oversigt"
"Selected Days","Vælg dage"
"All Days","Alle Dage"
"Activation","Aktivering"
"Activation Key","Aktiveringsnøgle"
"Select Websites","Vælg Hjemmesider"
"GoMage LightCheckout","GoMage LightCheckout"
"Unchecked","Ikke afkrydset"
"Checked","Afkrydset"
"Enable, unchecked","Aktiver, ikke afkrydset"
"Enable, checked","Aktiver, afkrydset"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","For at anvende GeoIP skal du uploade GeoliteCity.dat filen til mappen /media/geoip. Læs mere under <a target=""_blank"" href=""%s"">Installationsguiden</a>"
"Select Date","Vælg Dato"
"Buttons View","Knap Oversigt"
"Please enter a valid VAT.","Venligst indtast gyldig Moms."
"None","Ingen"
"Use Сtrl + left mouse button to select the days","Brug Ctrl + Venstre muse-knap for at vælge dage"
"Please enter a valid key.","Venligst indtast gyldig nøgle."
"Gift Wrapping","Gift Wrapping"
